eu_id,ccest_year,pl2samp_gdd,pl2term_gdd
35401,2018,1758.4,1925.8
35401,2019,1311.3,1486.8
35402,2018,3079.1,3246.5
35402,2019,2858.9,3034.4
35404,NA,NA,NA
35405,2018,1758.4,1925.8
35405,2019,1311.3,1486.8
35406,2018,1032.9,1200.3
35406,2019,612.2,787.7
35501,2018,1758.4,2312.6
35501,2019,1311.3,2126.8
35502,2018,3079.1,3633.3
35502,2019,2858.9,3674.4
35504,NA,NA,NA
35505,2018,1758.4,2312.6
35505,2019,1311.3,2126.8
35506,2018,1032.9,1587.1
35506,2019,612.2,1427.7
