eu_id,date2,exp_year,dm_type,dm_gm2
30804,2018-11-15,y1_fall,volunteer,167.58
30804,2019-11-13,y2_fall,grass_cl,NA
30804,2019-11-13,y2_fall,weeds,105.23
30804,2019-11-13,y2_fall,radish,24.69
30804,2019-11-13,y2_fall,volunteer,NA
30805,2018-11-15,y1_fall,grass_cl,0.28
30805,2018-11-15,y1_fall,weeds,1.23
30805,2018-11-15,y1_fall,radish,NA
30805,2018-11-15,y1_fall,volunteer,226.92
30805,2019-11-13,y2_fall,grass_cl,12.24
30805,2019-11-13,y2_fall,weeds,97.18
30805,2019-11-13,y2_fall,radish,NA
30805,2019-11-13,y2_fall,volunteer,NA
30806,2018-11-15,y1_fall,grass_cl,NA
30806,2018-11-15,y1_fall,weeds,5.7
30806,2018-11-15,y1_fall,radish,NA
30806,2018-11-15,y1_fall,volunteer,280.14
30806,2019-11-13,y2_fall,grass_cl,NA
30806,2019-11-13,y2_fall,weeds,96.28
30806,2019-11-13,y2_fall,radish,NA
30806,2019-11-13,y2_fall,volunteer,NA
31402,2018-11-15,y1_fall,grass_cl,16.45
31402,2018-11-15,y1_fall,weeds,5.95
31402,2018-11-15,y1_fall,radish,NA
31402,2018-11-15,y1_fall,volunteer,51.78
31402,2019-11-13,y2_fall,grass_cl,80.13
31402,2019-11-13,y2_fall,weeds,34.21
31402,2019-11-13,y2_fall,radish,NA
31402,2019-11-13,y2_fall,volunteer,NA
31403,2018-11-15,y1_fall,grass_cl,NA
31403,2018-11-15,y1_fall,weeds,0
31403,2018-11-15,y1_fall,radish,120.46
31403,2018-11-15,y1_fall,volunteer,58.61
31403,2019-11-13,y2_fall,grass_cl,NA
31403,2019-11-13,y2_fall,weeds,115.43
31403,2019-11-13,y2_fall,radish,50.73
31403,2019-11-13,y2_fall,volunteer,NA
31404,2018-11-15,y1_fall,grass_cl,NA
31404,2018-11-15,y1_fall,weeds,0.22
31404,2018-11-15,y1_fall,radish,45.66
31404,2018-11-15,y1_fall,volunteer,117.61
31404,2019-11-13,y2_fall,grass_cl,NA
31404,2019-11-13,y2_fall,weeds,91.11
31404,2019-11-13,y2_fall,radish,10.7
31404,2019-11-13,y2_fall,volunteer,NA
31405,2018-11-15,y1_fall,grass_cl,0.28
31405,2018-11-15,y1_fall,weeds,0.49
31405,2018-11-15,y1_fall,radish,NA
31405,2018-11-15,y1_fall,volunteer,187.79
31405,2019-11-13,y2_fall,grass_cl,18.47
31405,2019-11-13,y2_fall,weeds,92.09
31405,2019-11-13,y2_fall,radish,NA
31405,2019-11-13,y2_fall,volunteer,NA
31406,2018-11-15,y1_fall,grass_cl,NA
31406,2018-11-15,y1_fall,weeds,7.74
31406,2018-11-15,y1_fall,radish,NA
31406,2018-11-15,y1_fall,volunteer,162.43
31406,2019-11-13,y2_fall,grass_cl,NA
31406,2019-11-13,y2_fall,weeds,68.3
31406,2019-11-13,y2_fall,radish,NA
31406,2019-11-13,y2_fall,volunteer,NA
31502,2018-11-15,y1_fall,grass_cl,25.78
31502,2018-11-15,y1_fall,weeds,11.59
31502,2018-11-15,y1_fall,radish,NA
31502,2018-11-15,y1_fall,volunteer,172.46
31502,2019-11-13,y2_fall,grass_cl,26.07
31502,2019-11-13,y2_fall,weeds,39.27
31502,2019-11-13,y2_fall,radish,NA
31502,2019-11-13,y2_fall,volunteer,NA
31503,2018-11-15,y1_fall,grass_cl,NA
31503,2018-11-15,y1_fall,weeds,0
31503,2018-11-15,y1_fall,radish,163.11
31503,2018-11-15,y1_fall,volunteer,103.42
31503,2019-11-13,y2_fall,grass_cl,NA
31503,2019-11-13,y2_fall,weeds,67.76
31503,2019-11-13,y2_fall,radish,52.75
31503,2019-11-13,y2_fall,volunteer,NA
31504,2018-11-15,y1_fall,grass_cl,NA
31504,2018-11-15,y1_fall,weeds,16.31
31504,2018-11-15,y1_fall,radish,21.01
31504,2018-11-15,y1_fall,volunteer,203.29
31504,2019-11-13,y2_fall,grass_cl,NA
31504,2019-11-13,y2_fall,weeds,65.6
31504,2019-11-13,y2_fall,radish,21.58
31504,2019-11-13,y2_fall,volunteer,NA
31505,2018-11-15,y1_fall,grass_cl,0.84
31505,2018-11-15,y1_fall,weeds,12.42
31505,2018-11-15,y1_fall,radish,NA
31505,2018-11-15,y1_fall,volunteer,213.13
31505,2019-11-13,y2_fall,grass_cl,8.13
31505,2019-11-13,y2_fall,weeds,70.3
31505,2019-11-13,y2_fall,radish,NA
31505,2019-11-13,y2_fall,volunteer,NA
31506,2018-11-15,y1_fall,grass_cl,NA
31506,2018-11-15,y1_fall,weeds,1.89
31506,2018-11-15,y1_fall,radish,NA
31506,2018-11-15,y1_fall,volunteer,279.95
31506,2019-11-13,y2_fall,grass_cl,NA
31506,2019-11-13,y2_fall,weeds,67.9
31506,2019-11-13,y2_fall,radish,NA
31506,2019-11-13,y2_fall,volunteer,NA
31602,2018-11-15,y1_fall,grass_cl,16.16
31602,2018-11-15,y1_fall,weeds,2.29
31602,2018-11-15,y1_fall,radish,NA
31602,2018-11-15,y1_fall,volunteer,171.71
31602,2019-11-13,y2_fall,grass_cl,99.41
31602,2019-11-13,y2_fall,weeds,14.16
31602,2019-11-13,y2_fall,radish,NA
31602,2019-11-13,y2_fall,volunteer,NA
31603,2018-11-15,y1_fall,grass_cl,NA
31603,2018-11-15,y1_fall,weeds,NA
31603,2018-11-15,y1_fall,radish,78.12
31603,2018-11-15,y1_fall,volunteer,85.37
31603,2019-11-13,y2_fall,grass_cl,NA
31603,2019-11-13,y2_fall,weeds,51.9
31603,2019-11-13,y2_fall,radish,41.41
31603,2019-11-13,y2_fall,volunteer,NA
31604,2018-11-15,y1_fall,grass_cl,NA
31604,2018-11-15,y1_fall,weeds,0.15
31604,2018-11-15,y1_fall,radish,14.14
31604,2018-11-15,y1_fall,volunteer,135.69
31604,2019-11-13,y2_fall,grass_cl,NA
31604,2019-11-13,y2_fall,weeds,58.37
31604,2019-11-13,y2_fall,radish,16.02
31604,2019-11-13,y2_fall,volunteer,NA
31605,2018-11-15,y1_fall,grass_cl,1.42
31605,2018-11-15,y1_fall,weeds,0.02
31605,2018-11-15,y1_fall,radish,NA
31605,2018-11-15,y1_fall,volunteer,111.76
31605,2019-11-13,y2_fall,grass_cl,19.11
31605,2019-11-13,y2_fall,weeds,61.14
31605,2019-11-13,y2_fall,radish,NA
31605,2019-11-13,y2_fall,volunteer,NA
31606,2018-11-15,y1_fall,grass_cl,NA
31606,2018-11-15,y1_fall,weeds,0.43
31606,2018-11-15,y1_fall,radish,NA
